categories,description,dimensions,name,price,sku,stock,tags,weight
seed,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,6 x 6 x 6 cm,Venusaur,105.00,7036,30,"overgrow, seed, venusaur",220.5 kg
seed,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",2 x 2 x 2 cm,Bulbasaur,63.00,4391,45,"bulbasaur, overgrow, seed",15.2 kg
seed,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",3 x 3 x 3 cm,Ivysaur,87.00,7227,142,"ivysaur, overgrow, seed",28.7 kg
drill,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",4 x 4 x 4 cm,Nidoking,31.00,1159,178,"drill, nidoking, poison point",136.7 kg
poison pin,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2 x 2 x 2 cm,Nidorino,179.00,9646,279,"nidorino, poison pin, poison point",43 kg
drill,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,4 x 4 x 4 cm,Nidoqueen,106.00,6614,153,"drill, nidoqueen, poison point",132.3 kg
poison pin,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",2 x 2 x 2 cm,Nidorina,28.00,9779,58,"nidorina, poison pin, poison point",44.1 kg
mouse,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",3 x 3 x 3 cm,Sandslash,155.00,4747,236,"mouse, sand veil, sandslash",65 kg
mouse,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",2 x 2 x 2 cm,Sandshrew,82.00,9134,100,"mouse, sand veil, sandshrew",26.5 kg
mouse,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,2 x 2 x 2 cm,Raichu,140.00,3488,215,"mouse, raichu, static",66.1 kg
mouse,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,1 x 1 x 1 cm,Pikachu,37.00,1333,254,"mouse, pikachu, static",13.2 kg
cobra,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",11 x 11 x 11 cm,Arbok,182.00,9230,248,"arbok, cobra, shed skin",143.3 kg
snake,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,6 x 6 x 6 cm,Ekans,55.00,5690,120,"ekans, shed skin, snake",15.2 kg
beak,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,3 x 3 x 3 cm,Fearow,95.00,9127,276,"beak, fearow, keen eye",83.8 kg
tiny bird,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1 x 1 x 1 cm,Spearow,133.00,1591,46,"keen eye, spearow, tiny bird",4.4 kg
mouse,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2 x 2 x 2 cm,Raticate,60.00,5745,204,"mouse, raticate, run away",40.8 kg
mouse,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1 x 1 x 1 cm,Rattata,128.00,1009,16,"mouse, rattata, run away",7.7 kg
bird,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",4 x 4 x 4 cm,Pidgeot,185.00,8462,90,"bird, keen eye, pidgeot",87.1 kg
bird,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",3 x 3 x 3 cm,Pidgeotto,84.00,1150,120,"bird, keen eye, pidgeotto",66.1 kg
balloon,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",3 x 3 x 3 cm,Wigglytuff,130.00,2733,260,"balloon, cute charm, wigglytuff",26.5 kg
mole,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",None,Diglett,122.00,4383,227,"diglett, mole, sand veil",1.8 kg
poison moth,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",4 x 4 x 4 cm,Venomoth,53.00,3503,22,"poison moth, shield dust, venomoth",27.6 kg
insect,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",3 x 3 x 3 cm,Venonat,158.00,1329,177,"compound eyes, insect, venonat",66.1 kg
mushroom,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",3 x 3 x 3 cm,Parasect,27.00,4612,17,"effect spore, mushroom, parasect",65 kg
mushroom,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,1 x 1 x 1 cm,Paras,168.00,9691,192,"effect spore, mushroom, paras",11.9 kg
flower,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",3 x 3 x 3 cm,Vileplume,170.00,5295,283,"chlorophyll, flower, vileplume",41 kg
weed,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",2 x 2 x 2 cm,Gloom,178.00,7374,74,"chlorophyll, gloom, weed",19 kg
weed,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",1 x 1 x 1 cm,Oddish,45.00,8337,296,"chlorophyll, oddish, weed",11.9 kg
bat,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",5 x 5 x 5 cm,Golbat,136.00,5941,52,"bat, golbat, inner focus",121.3 kg
bat,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",2 x 2 x 2 cm,Zubat,125.00,2584,154,"bat, inner focus, zubat",16.5 kg
balloon,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",1 x 1 x 1 cm,Jigglypuff,61.00,9180,136,"balloon, cute charm, jigglypuff",12.1 kg
fox,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,3 x 3 x 3 cm,Ninetales,52.00,5173,215,"flash fire, fox, ninetales",43.9 kg
fox,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",2 x 2 x 2 cm,Vulpix,85.00,1440,268,"flash fire, fox, vulpix",21.8 kg
fairy,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",4 x 4 x 4 cm,Clefable,188.00,9786,23,"clefable, cute charm, fairy",88.2 kg
fairy,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",2 x 2 x 2 cm,Clefairy,160.00,3259,86,"clefairy, cute charm, fairy",16.5 kg
psi,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",4 x 4 x 4 cm,Alakazam,40.00,7975,142,"alakazam, inner focus, psi",105.8 kg
superpower,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,2 x 2 x 2 cm,Machop,166.00,9506,173,"guts, machop, superpower",43 kg
psi,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",4 x 4 x 4 cm,Kadabra,129.00,9040,195,"inner focus, kadabra, psi",124.6 kg
psi,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",2 x 2 x 2 cm,Abra,141.00,3845,116,"abra, inner focus, psi",43 kg
tadpole,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",4 x 4 x 4 cm,Poliwrath,152.00,1848,216,"damp, poliwrath, tadpole",119 kg
tadpole,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",3 x 3 x 3 cm,Poliwhirl,121.00,4447,139,"damp, poliwhirl, tadpole",44.1 kg
tadpole,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",2 x 2 x 2 cm,Poliwag,174.00,6402,217,"damp, poliwag, tadpole",27.3 kg
legendary,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",6 x 6 x 6 cm,Arcanine,69.00,9267,14,"arcanine, intimidate, legendary",341.7 kg
puppy,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",2 x 2 x 2 cm,Growlithe,30.00,1749,243,"growlithe, intimidate, puppy",41.9 kg
pig monkey,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",3 x 3 x 3 cm,Primeape,86.00,3052,68,"pig monkey, primeape, vital spirit",70.5 kg
pig monkey,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",1 x 1 x 1 cm,Mankey,125.00,5180,209,"mankey, pig monkey, vital spirit",61.7 kg
duck,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",5 x 5 x 5 cm,Golduck,31.00,8764,278,"damp, duck, golduck",168.9 kg
duck,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",2 x 2 x 2 cm,Psyduck,182.00,6470,214,"damp, duck, psyduck",43.2 kg
classy cat,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,3 x 3 x 3 cm,Persian,200.00,3752,108,"classy cat, persian, technician",70.5 kg
scratch cat,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",1 x 1 x 1 cm,Meowth,131.00,9594,203,"meowth, pickup, scratch cat",9.3 kg
mole,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",2 x 2 x 2 cm,Dugtrio,111.00,7897,290,"dugtrio, mole, sand veil",73.4 kg
jellyfish,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,5 x 5 x 5 cm,Tentacruel,65.00,1723,175,"clear body, jellyfish, tentacruel",121.3 kg
jellyfish,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,2 x 2 x 2 cm,Tentacool,186.00,1506,66,"clear body, jellyfish, tentacool",100.3 kg
magnet,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",3 x 3 x 3 cm,Magneton,191.00,5934,152,"magnet, magneton, sturdy",132.3 kg
magnet,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,1 x 1 x 1 cm,Magnemite,100.00,1688,16,"magnemite, magnet, sturdy",13.2 kg
hermit crab,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",5 x 5 x 5 cm,Slowbro,179.00,3864,289,"hermit crab, oblivious, slowbro",173.1 kg
dopey,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",3 x 3 x 3 cm,Slowpoke,109.00,2145,57,"dopey, oblivious, slowpoke",79.4 kg
fire horse,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",5 x 5 x 5 cm,Rapidash,98.00,3414,194,"fire horse, rapidash, run away",209.4 kg
fire horse,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,3 x 3 x 3 cm,Ponyta,53.00,3629,41,"fire horse, ponyta, run away",66.1 kg
megaton,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",4 x 4 x 4 cm,Golem,103.00,1408,151,"golem, megaton, rock head",661.4 kg
rock,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",3 x 3 x 3 cm,Graveler,182.00,4748,86,"graveler, rock, rock head",231.5 kg
rock,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",1 x 1 x 1 cm,Geodude,32.00,1650,77,"geodude, rock, rock head",44.1 kg
flycatcher,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",5 x 5 x 5 cm,Victreebel,68.00,2187,119,"chlorophyll, flycatcher, victreebel",34.2 kg
flycatcher,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",3 x 3 x 3 cm,Weepinbell,26.00,5253,46,"chlorophyll, flycatcher, weepinbell",14.1 kg
flower,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",2 x 2 x 2 cm,Bellsprout,74.00,7454,257,"bellsprout, chlorophyll, flower",8.8 kg
superpower,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",5 x 5 x 5 cm,Machamp,121.00,2857,242,"guts, machamp, superpower",286.6 kg
superpower,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",4 x 4 x 4 cm,Machoke,27.00,9503,10,"guts, machoke, superpower",155.4 kg
river crab,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",1 x 1 x 1 cm,Krabby,64.00,2333,147,"krabby, river crab, shell armor",14.3 kg
hypnosis,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",5 x 5 x 5 cm,Hypno,198.00,2634,222,"hypno, hypnosis, insomnia",166.7 kg
hypnosis,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",3 x 3 x 3 cm,Drowzee,40.00,9437,253,"drowzee, hypnosis, insomnia",71.4 kg
rock snake,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",28 x 28 x 28 cm,Onix,37.00,2221,286,"onix, rock head, rock snake",463 kg
shadow,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",4 x 4 x 4 cm,Gengar,149.00,6267,159,"gengar, levitate, shadow",89.3 kg
gas,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",5 x 5 x 5 cm,Haunter,42.00,7532,181,"gas, haunter, levitate",0.2 kg
gas,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",4 x 4 x 4 cm,Gastly,179.00,6873,151,"gas, gastly, levitate",0.2 kg
bivalve,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",4 x 4 x 4 cm,Cloyster,199.00,5736,39,"bivalve, cloyster, shell armor",292.1 kg
bivalve,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",1 x 1 x 1 cm,Shellder,138.00,4653,23,"bivalve, shell armor, shellder",8.8 kg
sludge,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",3 x 3 x 3 cm,Muk,187.00,9514,220,"muk, sludge, stench",66.1 kg
sludge,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,2 x 2 x 2 cm,Grimer,147.00,3031,201,"grimer, sludge, stench",66.1 kg
sea lion,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,5 x 5 x 5 cm,Dewgong,70.00,9375,62,"dewgong, sea lion, thick fat",264.6 kg
sea lion,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",3 x 3 x 3 cm,Seel,164.00,2302,250,"sea lion, seel, thick fat",198.4 kg
triple bird,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",5 x 5 x 5 cm,Dodrio,138.00,4038,118,"dodrio, run away, triple bird",187.8 kg
twin bird,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",4 x 4 x 4 cm,Doduo,73.00,8303,227,"doduo, run away, twin bird",86.4 kg
wild duck,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",2 x 2 x 2 cm,Farfetchd,185.00,3808,158,"farfetchd, keen eye, wild duck",33.1 kg
ball,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,1 x 1 x 1 cm,Voltorb,189.00,9522,245,"ball, static, voltorb",22.9 kg
pincer,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",4 x 4 x 4 cm,Kingler,72.00,1454,271,"kingler, pincer, shell armor",132.3 kg
vine,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",3 x 3 x 3 cm,Tangela,64.00,3530,91,"chlorophyll, tangela, vine",77.2 kg
egg,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",3 x 3 x 3 cm,Chansey,176.00,8548,151,"chansey, egg, natural cure",76.3 kg
drill,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",6 x 6 x 6 cm,Rhydon,27.00,4900,73,"drill, rhydon, rock head",264.6 kg
spikes,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",3 x 3 x 3 cm,Rhyhorn,124.00,8574,138,"rhyhorn, rock head, spikes",253.5 kg
poison gas,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",3 x 3 x 3 cm,Weezing,48.00,8429,117,"levitate, poison gas, weezing",20.9 kg
poison gas,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",2 x 2 x 2 cm,Koffing,38.00,3303,110,"koffing, levitate, poison gas",2.2 kg
licking,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",3 x 3 x 3 cm,Lickitung,142.00,5903,291,"licking, lickitung, oblivious",144.4 kg
punching,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,4 x 4 x 4 cm,Hitmonchan,91.00,3499,163,"hitmonchan, keen eye, punching",110.7 kg
kicking,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",4 x 4 x 4 cm,Hitmonlee,73.00,6833,269,"hitmonlee, kicking, limber",109.8 kg
bone keeper,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,3 x 3 x 3 cm,Marowak,36.00,8681,295,"bone keeper, marowak, rock head",99.2 kg
lonely,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",1 x 1 x 1 cm,Cubone,177.00,3170,242,"cubone, lonely, rock head",14.3 kg
coconut,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",6 x 6 x 6 cm,Exeggutor,68.00,8250,292,"chlorophyll, coconut, exeggutor",264.6 kg
egg,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",1 x 1 x 1 cm,Exeggcute,126.00,2494,144,"chlorophyll, egg, exeggcute",5.5 kg
ball,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,3 x 3 x 3 cm,Electrode,100.00,1042,230,"ball, electrode, static",146.8 kg
goldfish,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,4 x 4 x 4 cm,Seaking,129.00,9260,226,"goldfish, seaking, swift swim",86 kg
goldfish,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.",2 x 2 x 2 cm,Goldeen,170.00,3144,117,"goldeen, goldfish, swift swim",33.1 kg
dragon,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",3 x 3 x 3 cm,Seadra,51.00,2148,45,"dragon, poison point, seadra",55.1 kg
atrocious,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",21 x 21 x 21 cm,Gyarados,79.00,9629,100,"atrocious, gyarados, intimidate",518.1 kg
fish,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",2 x 2 x 2 cm,Magikarp,43.00,6706,126,"fish, magikarp, swift swim",22 kg
